0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
255,255,255,255,255,255,255,255,255,255,255,255,255,255,207,159,143,247,255,255,255,255,255,255,255,255,255,255,255
255,255,255,255,255,255,255,255,255,255,255,255,255,159,0,0,0,40,223,255,255,255,255,255,255,255,255,255,255
255,255,255,255,255,255,255,255,255,255,255,255,207,0,0,0,0,0,120,255,255,255,255,255,255,255,255,255,255
255,255,255,255,255,255,255,255,255,255,255,255,80,0,0,0,0,0,40,255,255,255,255,255,255,255,255,255,255
255,255,255,255,255,255,255,255,255,255,255,207,0,0,0,0,0,0,32,255,255,255,255,255,255,255,255,255,255
255,255,255,255,255,255,255,255,255,255,255,80,0,0,0,0,0,0,32,255,255,255,255,255,255,255,255,255,255
255,255,255,255,255,255,255,255,255,255,223,0,0,0,0,0,0,0,32,255,255,255,255,255,255,255,255,255,255
255,255,255,255,255,255,255,255,255,255,112,0,0,0,0,0,0,0,32,255,255,255,255,255,255,255,255,255,255
255,255,255,255,255,255,255,255,255,231,8,0,0,0,0,0,0,0,32,255,255,255,255,255,255,255,255,255,255
255,255,255,255,255,255,255,255,255,112,0,0,0,0,0,0,0,0,32,255,255,255,255,255,255,255,255,255,255
255,255,255,255,255,255,255,255,231,8,0,0,0,0,0,0,0,0,32,255,255,255,255,255,255,255,255,255,255
255,255,255,255,255,255,255,255,112,0,0,0,0,0,0,0,0,0,32,255,255,255,255,255,255,255,255,255,255
255,255,255,255,255,255,255,247,8,0,0,0,0,0,0,0,0,0,32,255,255,255,255,255,255,255,255,255,255
255,255,255,255,255,255,255,143,0,0,0,0,0,0,0,0,0,0,32,255,255,255,255,255,255,255,255,255,255
255,255,255,255,255,255,247,24,0,0,0,0,0,0,0,0,0,0,32,255,255,255,255,255,255,255,255,255,255
255,255,255,255,255,255,143,0,0,0,0,0,0,0,0,0,0,0,32,255,255,255,255,255,255,255,255,255,255
255,255,255,255,255,247,24,0,0,0,0,0,0,0,0,0,0,0,32,255,255,255,255,255,255,255,255,255,255
255,255,255,255,255,143,0,0,0,0,0,0,24,0,0,0,0,0,32,255,255,255,255,255,255,255,255,255,255
255,255,255,255,255,32,0,0,0,0,0,8,135,0,0,0,0,0,32,255,255,255,255,255,255,255,255,255,255
255,255,255,255,175,0,0,0,0,0,0,96,159,0,0,0,0,0,32,255,255,255,255,255,255,255,255,255,255
255,255,255,255,48,0,0,0,0,0,0,207,159,0,0,0,0,0,32,255,255,255,255,255,255,255,255,255,255
255,255,255,175,0,0,0,0,0,0,80,255,159,0,0,0,0,0,32,255,255,255,255,255,255,255,255,255,255
255,255,255,48,0,0,0,0,0,0,207,255,159,0,0,0,0,0,32,255,255,255,255,255,255,255,255,255,255
255,255,175,0,0,0,0,0,0,80,255,255,159,0,0,0,0,0,32,255,255,255,255,255,255,255,255,255,255
255,255,72,0,0,0,0,0,0,207,255,255,159,0,0,0,0,0,32,255,255,255,255,255,255,255,255,255,255
255,207,0,0,0,0,0,0,64,255,255,255,159,0,0,0,0,0,32,255,255,255,255,255,255,255,255,255,255
